frame_number,apex x,apex y,ruler 0 mm x,ruler 0 mm y,ruler 20 mm x,ruler 20 mm y
0,557,268,484,326,566,338
1,556,266,483,325,565,337
2,557,264,483,325,565,337
3,557,263,483,325,565,337
4,557,260,483,325,565,337
5,557,256,482,325,565,337
6,557,252,482,325,565,337
7,557,247,482,325,565,337
8,556,242,482,325,565,336
9,554,237,482,325,565,337
10,552,231,482,325,565,337
11,549,226,482,325,565,336
12,544,221,482,325,565,336
13,539,217,482,325,565,336
14,532,214,481,325,565,336
15,524,211,481,325,565,336
16,515,209,481,325,565,336
17,505,207,481,325,565,336
18,497,207,481,325,565,336
19,490,208,481,325,565,336
20,483,209,481,325,565,336
21,478,211,481,325,565,335
22,474,211,481,325,565,335
23,471,212,481,325,565,335
24,469,212,481,325,565,335
25,467,212,481,325,564,334
26,466,212,481,325,565,334
27,465,211,481,325,565,334
28,465,211,481,325,565,334
29,464,210,481,325,565,334
30,454,211,471,327,555,336
31,454,210,471,327,555,335
32,454,208,471,327,555,335
33,454,206,471,327,555,335
34,454,204,471,327,555,335
35,455,202,471,327,555,335
36,455,200,471,327,555,335
37,456,197,471,327,556,335
38,457,195,471,327,556,335
39,458,193,471,327,555,335
40,459,191,471,327,556,335
41,461,188,471,327,555,335
42,462,186,471,327,556,335
43,464,184,471,327,556,335
44,466,182,471,327,556,335
45,468,181,471,327,556,335
46,470,180,471,327,556,335
47,472,179,471,327,556,335
48,475,178,471,327,556,335
49,477,177,470,327,556,335
50,480,177,470,327,556,335
51,482,177,470,327,556,335
52,485,177,470,327,556,335
53,487,177,470,327,556,335
54,490,178,470,327,556,335
55,492,178,470,327,556,335
56,494,178,470,327,556,335
57,496,179,470,327,556,335
58,497,179,470,327,556,335
59,499,179,470,327,556,335
60,500,180,470,327,556,335
61,501,180,470,327,556,335
62,503,180,470,327,556,335
63,504,181,470,327,556,335
64,505,181,470,327,557,335
65,505,182,470,327,556,335
66,506,182,470,327,557,335
67,507,182,470,327,556,335
68,507,183,470,327,557,335
69,508,183,470,327,557,335
70,509,183,470,327,557,335
71,509,183,470,327,557,335
72,509,184,470,327,557,335
73,509,184,470,327,557,335
74,509,184,470,327,557,335
75,510,184,470,327,557,335
76,509,184,470,327,557,335
77,510,184,470,327,557,335
78,509,183,470,327,557,335
79,509,183,470,327,557,335
80,509,183,470,327,557,335
81,508,183,470,328,557,335
82,507,183,470,328,557,335
83,506,181,469,325,556,333
84,507,241,301,325,585,374
85,506,242,301,326,586,373
86,505,242,301,326,587,373
87,505,242,301,326,587,373
88,505,242,300,326,587,372
89,505,242,300,327,587,372
90,505,242,300,327,587,371
91,505,242,300,327,587,371
92,505,242,300,327,587,371
93,505,242,300,328,587,371
